MODEL_NAME,NUM_EPOCHS,NUM_TRAJ,TRAJ_LENGTH,ACTIVATION,HIDDEN_SIZE,BETA,TRAIN_LOSS,TRAIN_AVERAGE_EUCLIDEAN_DISTANCE,VAL_LOSS,VAL_AVERAGE_EUCLIDEAN_DISTANCE,TEST_LOSS,TEST_AVERAGE_EUCLIDEAN_DISTANCE,Lyapunov1,Lyapunov2,Lyapunov3,MIN_SV3,MIN_GRAD_SV3
2026-08-04T14-20-33_tanh_4_1,200,100,5,tanh,4,1,0.0147121,0.1801206,0.0130773,0.182382,0.0080209,0.1419648,0.486661856026935,-0.0083399159500501,-6.193410277832881,0.8130543431235766,-1.025085881397351
2026-08-04T14-20-33_tanh_4_2,200,100,5,tanh,4,1,0.0091764,0.1473861,0.0148312,0.184865,0.0159679,0.1804492,0.0165751761033222,-0.5400180351750767,-14.85997322425718,0.7692098237423329,-1.0850290008731729
2026-08-04T14-20-33_tanh_4_3,200,100,5,tanh,4,1,0.0052695,0.1054635,0.002748,0.0878616,0.0068339,0.1320472,0.0080804856429275,-0.0920749941182767,-9.433642665014217,0.855438641540451,-0.1871377531072759
2026-08-04T14-20-33_tanh_4_4,200,100,5,tanh,4,1,0.045628,0.31387,0.0698439,0.4104265,0.060016,0.3506762,0.0211840723120769,-0.0388682675236527,-3.3109599951968063,0.8704763016121306,-0.1375695584628417
2026-08-04T14-20-33_tanh_4_5,200,100,5,tanh,4,1,0.0148966,0.1694184,0.0208221,0.2093305,0.0251123,0.2203066,0.0150923414778537,-0.6855575051953002,-9.97278152589459,0.7103453853004444,-0.9564530541346172
2026-08-04T14-20-33_tanh_4_6,200,100,5,tanh,4,1,0.0571993,0.3246554,0.0681014,0.3776637,0.0411865,0.3154399,-96.15501365012696,-207.9676719113198,-230.25850929585567,0.0001412810825751,0.0
2026-08-04T14-20-33_tanh_4_7,200,100,5,tanh,4,1,0.0034004,0.0840388,0.0019028,0.0662367,0.0021,0.0700181,0.7732784144141889,-0.0002622955544527,-12.81926307378347,0.7501725005898302,-0.8835005961762604
2026-08-04T14-20-33_tanh_4_8,200,100,5,tanh,4,1,0.0031232,0.0843588,0.0050706,0.1088249,0.0075205,0.1200105,0.1900947834836066,-0.0209398931488667,-16.218728163011026,0.6299804673469398,-1.529089374119586
2026-08-04T14-20-33_tanh_4_9,200,100,5,tanh,4,1,0.0155427,0.1851268,0.0205555,0.207002,0.0103912,0.151837,-0.0648245739024553,-1.1157665771746808,-8.396071744992465,0.795347010547116,-0.5171522230003649
2026-08-04T14-20-33_tanh_4_10,200,100,5,tanh,4,1,0.0069158,0.127216,0.005256,0.1177123,0.0035263,0.0986045,0.5251785612603033,-0.0083089125672872,-12.985416654024071,0.7722275929071556,-0.6810232320831073
