MODEL_NAME,NUM_EPOCHS,N,F,NUM_TRAJ,TRAJ_LENGTH,ACTIVATION,HIDDEN_SIZE,BETA,TRAIN_LOSS,TRAIN_AVERAGE_EUCLIDEAN_DISTANCE,VAL_LOSS,VAL_AVERAGE_EUCLIDEAN_DISTANCE,TEST_LOSS,TEST_AVERAGE_EUCLIDEAN_DISTANCE,Lyapunov,MINS_SV,MIN_GRADS_SV
2026-08-22T10-47-11_Tanh()_32_5,200,8,8,200,5,Tanh(),32,1,3.32e-05,0.0155437,8.57e-05,0.0241972,9.24e-05,0.0257999,"[ 1.55830194  0.43382131  0.00740392 -0.51498296 -1.06811376 -1.58981504
 -2.51807076 -4.72382671]","[1.03599716 1.00339591 0.99275347 0.97838496 0.96581545 0.94298273
 0.92351956 0.88916229]","[-0.29378267 -0.4180806  -0.37757056 -0.39914716 -0.38939409 -0.32047267
 -0.27670458 -0.20161588]"
2026-08-22T10-47-11_Tanh()_32_6,200,8,8,200,5,Tanh(),32,1,2.8e-05,0.0142666,6.94e-05,0.0215717,5.66e-05,0.0197959,"[ 1.54455876  0.38972908 -0.00816013 -0.4552599  -1.02597642 -1.55936819
 -2.58462746 -4.7048088 ]","[1.03554518 1.00558571 0.99218172 0.97918255 0.96485214 0.94443438
 0.92306802 0.88966908]","[-0.30590389 -0.37041147 -0.37511159 -0.36760672 -0.37188699 -0.32632677
 -0.31556068 -0.23211092]"
2026-08-22T10-47-11_Tanh()_32_7,200,8,8,200,5,Tanh(),32,1,3.37e-05,0.0155507,6.32e-05,0.0200633,7.78e-05,0.0232713,"[ 1.6333371   0.41807631 -0.00489154 -0.49214351 -0.98847474 -1.53458727
 -2.5610802  -4.72644784]","[1.03605882 1.00528239 0.99225992 0.97839201 0.96470429 0.94441756
 0.92400178 0.8873127 ]","[-0.30859293 -0.411333   -0.39713911 -0.39514442 -0.40701454 -0.37456097
 -0.36519478 -0.19976288]"
2026-08-22T10-47-11_Tanh()_32_8,200,8,8,200,5,Tanh(),32,1,4.49e-05,0.0180682,7.12e-05,0.0223747,6.2e-05,0.0216594,"[ 1.61124035e+00  4.81017943e-01 -7.83722624e-05 -3.62568059e-01
 -8.82004955e-01 -1.45827851e+00 -2.63867482e+00 -4.71265389e+00]","[1.0353981  1.00407779 0.99413243 0.97885677 0.96747895 0.94258529
 0.91986455 0.88605471]","[-0.3397692  -0.43835047 -0.44291712 -0.46330819 -0.4747398  -0.41103553
 -0.34064505 -0.21246312]"
2026-08-22T10-47-11_Tanh()_32_9,200,8,8,200,5,Tanh(),32,1,3.5e-05,0.0158261,6.84e-05,0.0221453,8.14e-05,0.0226188,"[ 1.57557154e+00  4.30604374e-01  3.25619147e-03 -4.44360696e-01
 -1.06056615e+00 -1.59838375e+00 -2.54218152e+00 -4.66834455e+00]","[1.03662784 1.00581856 0.99279029 0.97810955 0.96652102 0.94591748
 0.92509403 0.89000805]","[-0.27297319 -0.43106331 -0.4222382  -0.37887825 -0.36112322 -0.33793717
 -0.2751214  -0.18728986]"
2026-08-22T10-47-11_Tanh()_32_10,200,8,8,200,5,Tanh(),32,1,2.29e-05,0.0127843,4.17e-05,0.0166728,5.7e-05,0.0196179,"[ 1.55965062  0.44634415 -0.00477832 -0.40923851 -0.9607975  -1.55867495
 -2.51813846 -4.73485968]","[1.03535683 1.00536966 0.99241547 0.980277   0.9675526  0.94461145
 0.92384286 0.88742894]","[-0.29840857 -0.38478423 -0.39035066 -0.40770764 -0.37810421 -0.38750292
 -0.30527927 -0.21747523]"
2026-08-22T10-47-11_Tanh()_32_11,200,8,8,200,5,Tanh(),32,1,2.66e-05,0.0138795,5.11e-05,0.0188332,5.63e-05,0.0198253,"[ 1.48800618e+00  3.98596168e-01 -2.06394584e-03 -4.59771182e-01
 -9.62745298e-01 -1.49720180e+00 -2.46554584e+00 -4.76106184e+00]","[1.03436346 1.00275945 0.99222334 0.97884583 0.96643837 0.94418189
 0.92371333 0.89037538]","[-0.26858365 -0.40306505 -0.45026806 -0.43329053 -0.39409593 -0.31693356
 -0.2922101  -0.17281093]"
2026-08-22T10-47-11_Tanh()_32_12,200,8,8,200,5,Tanh(),32,1,3.72e-05,0.0164197,6.28e-05,0.0209483,7.26e-05,0.022528,"[ 1.61089498  0.45860503 -0.00508834 -0.47459239 -0.95712504 -1.51427105
 -2.53175001 -4.802559  ]","[1.03198462 1.00698074 0.99342545 0.9794097  0.96358967 0.9437275
 0.92236617 0.88559704]","[-0.29131253 -0.42545715 -0.43675449 -0.45844258 -0.4313041  -0.38256609
 -0.31722242 -0.21742151]"
2026-08-22T10-47-11_Tanh()_32_13,200,8,8,200,5,Tanh(),32,1,4.25e-05,0.0174698,6.21e-05,0.0202882,9.31e-05,0.0252445,"[ 1.62883178  0.46282157  0.00551847 -0.44580889 -0.94261346 -1.58927221
 -2.42733435 -4.74216474]","[1.03296842 1.00296677 0.99261246 0.97922611 0.96205049 0.94421745
 0.92217128 0.88391298]","[-0.29782523 -0.43748764 -0.48844111 -0.45958873 -0.45576014 -0.35406048
 -0.3108115  -0.1994756 ]"
2026-08-22T10-47-11_Tanh()_32_14,200,8,8,200,5,Tanh(),32,1,3.02e-05,0.0148489,5.9e-05,0.0204495,5.27e-05,0.0184614,"[ 1.67158699  0.41415636 -0.00579745 -0.4716659  -0.96179232 -1.60359583
 -2.58791607 -4.68243267]","[1.03631414 1.00424679 0.99291923 0.97817963 0.96736186 0.94494635
 0.92413508 0.88965927]","[-0.29069374 -0.36169774 -0.39070921 -0.40113564 -0.3912566  -0.31802197
 -0.29746182 -0.20732681]"
2026-08-22T10-47-11_Tanh()_32_15,200,8,8,200,5,Tanh(),32,1,2.3e-05,0.0129324,6.21e-05,0.0208268,6.18e-05,0.0204844,"[ 1.55227181  0.3921778   0.00589659 -0.46366546 -1.01454012 -1.60269359
 -2.51599235 -4.77134181]","[1.0363287  1.00499767 0.9923637  0.97710441 0.96717697 0.94544988
 0.92443369 0.88624958]","[-0.29392911 -0.42382575 -0.39311193 -0.36216567 -0.39153245 -0.31253145
 -0.28568407 -0.17492897]"
2026-08-22T10-47-11_Tanh()_32_16,200,8,8,200,5,Tanh(),32,1,2.92e-05,0.0143304,5.41e-05,0.0190096,4.72e-05,0.0181853,"[ 1.55477687e+00  4.49443379e-01 -3.81985617e-03 -4.62237909e-01
 -9.42469750e-01 -1.55041068e+00 -2.49909570e+00 -4.72210527e+00]","[1.0335955  1.00570651 0.99307943 0.97953216 0.96604992 0.94523142
 0.92461996 0.89049072]","[-0.25928416 -0.38269999 -0.38774788 -0.41298481 -0.38821417 -0.35511507
 -0.29848412 -0.16613337]"
2026-08-22T10-47-11_Tanh()_32_17,200,8,8,200,5,Tanh(),32,1,3.23e-05,0.015283,9.8e-05,0.0235158,5.4e-05,0.0196044,"[ 1.55155003  0.39504589  0.00599098 -0.45111801 -0.99167884 -1.5763036
 -2.47123184 -4.75977149]","[1.03472458 1.00366247 0.99365675 0.97934446 0.96615428 0.94483171
 0.92367149 0.89047875]","[-0.27421591 -0.36752336 -0.38068673 -0.37197227 -0.37145589 -0.33638118
 -0.30247817 -0.18823126]"
2026-08-22T10-47-11_Tanh()_32_18,200,8,8,200,5,Tanh(),32,1,3.32e-05,0.015383,5.78e-05,0.0196023,5.91e-05,0.0200684,"[ 1.57871399  0.41506911 -0.00570641 -0.41383761 -0.96106868 -1.55815263
 -2.51965584 -4.77362521]","[1.0345456  1.00480055 0.99263317 0.97770025 0.96873146 0.9444404
 0.92237846 0.8875447 ]","[-0.28791786 -0.37192386 -0.38352084 -0.37079895 -0.36640404 -0.3419556
 -0.3100359  -0.21916396]"
2026-08-22T10-47-11_Tanh()_32_19,200,8,8,200,5,Tanh(),32,1,4.36e-05,0.01784,8.28e-05,0.0241211,6.21e-05,0.0210542,"[ 1.55698797  0.44042898 -0.00615841 -0.48435649 -1.00310682 -1.52381989
 -2.56287061 -4.71650408]","[1.03489679 1.00385125 0.99300653 0.9784227  0.96731684 0.94468566
 0.92349092 0.89306494]","[-0.30497872 -0.39047188 -0.39224474 -0.39973186 -0.36563843 -0.31198485
 -0.27835448 -0.18787995]"
2026-08-22T10-47-11_Tanh()_32_20,200,8,8,200,5,Tanh(),32,1,3.32e-05,0.0153729,8.34e-05,0.0228449,8.04e-05,0.022747,"[ 1.56950865e+00  4.32019109e-01 -2.82630984e-03 -4.53494166e-01
 -1.00138424e+00 -1.54143611e+00 -2.51301035e+00 -4.80542106e+00]","[1.03351649 1.00406345 0.99282456 0.97963758 0.968459   0.94468659
 0.92427427 0.88443728]","[-0.32019341 -0.4212542  -0.37091488 -0.40599941 -0.35664473 -0.3212121
 -0.30154339 -0.19365412]"
2026-08-22T10-47-11_Tanh()_32_21,200,8,8,200,5,Tanh(),32,1,2.95e-05,0.0145154,5.06e-05,0.0179728,4.74e-05,0.0182023,"[ 1.54498496e+00  4.56511086e-01 -9.65677853e-04 -4.45935680e-01
 -9.59750768e-01 -1.51895206e+00 -2.56755165e+00 -4.72788753e+00]","[1.03363369 1.00266822 0.99234741 0.97988011 0.96816687 0.94393081
 0.9230621  0.8862678 ]","[-0.32608795 -0.42843627 -0.38876237 -0.40385716 -0.39064199 -0.34574861
 -0.32014105 -0.19398881]"
2026-08-22T10-47-11_Tanh()_32_22,200,8,8,200,5,Tanh(),32,1,2.88e-05,0.0144364,4.63e-05,0.0180786,6.33e-05,0.0210846,"[ 1.53331536  0.47542271  0.01058405 -0.43042908 -0.98565097 -1.47274268
 -2.45836022 -4.79486644]","[1.03411873 1.00438319 0.99348962 0.97918566 0.96736254 0.94429702
 0.92064238 0.88542186]","[-0.3282645  -0.42470802 -0.41681905 -0.41922819 -0.40559039 -0.33232822
 -0.33410571 -0.20967192]"
2026-08-22T10-47-11_Tanh()_32_23,200,8,8,200,5,Tanh(),32,1,5.26e-05,0.0192574,0.0001062,0.0262343,0.0001185,0.0280815,"[ 1.62045573e+00  4.92143207e-01 -3.86083209e-03 -4.18070197e-01
 -1.00603745e+00 -1.66246483e+00 -2.63034458e+00 -4.72002284e+00]","[1.03633164 1.00544417 0.9929565  0.97778972 0.96505571 0.94426353
 0.92260411 0.88586778]","[-0.28983283 -0.45357847 -0.42622517 -0.47694668 -0.45438562 -0.34960575
 -0.31931578 -0.19570237]"
2026-08-22T10-47-11_Tanh()_32_24,200,8,8,200,5,Tanh(),32,1,3.49e-05,0.0157459,8.2e-05,0.0243157,4.66e-05,0.0183626,"[ 1.55496582e+00  4.45765450e-01 -4.82187240e-03 -4.36105622e-01
 -9.68313751e-01 -1.54613834e+00 -2.49599070e+00 -4.83253594e+00]","[1.03432935 1.00416926 0.99251179 0.97729903 0.96415562 0.94423179
 0.92354177 0.89090042]","[-0.27129609 -0.37891726 -0.3846826  -0.40700479 -0.36676339 -0.36333658
 -0.33633962 -0.21792165]"
2026-08-22T10-47-11_Tanh()_32_25,200,8,8,200,5,Tanh(),32,1,2.83e-05,0.0143925,5.79e-05,0.0202129,5.71e-05,0.0191256,"[ 1.6548157   0.48849669  0.0047894  -0.48797008 -0.97371804 -1.58017479
 -2.63485856 -4.72172916]","[1.03564293 1.00477218 0.99283902 0.97911599 0.96692259 0.94460473
 0.92398403 0.88777893]","[-0.28177968 -0.38608409 -0.36772303 -0.38415348 -0.38758525 -0.31330072
 -0.29065789 -0.22179435]"
2026-08-22T10-47-11_Tanh()_32_26,200,8,8,200,5,Tanh(),32,1,2.86e-05,0.0143051,5.48e-05,0.0190462,6.47e-05,0.0206799,"[ 1.55961888e+00  4.17740760e-01  8.34718897e-04 -4.96151412e-01
 -1.02758019e+00 -1.59293179e+00 -2.53341311e+00 -4.86130691e+00]","[1.0346957  1.00415336 0.99180391 0.97980819 0.96601493 0.94448536
 0.92427267 0.8878356 ]","[-0.30374228 -0.40793774 -0.40805694 -0.38958398 -0.41069236 -0.31491013
 -0.27560106 -0.18365611]"
2026-08-22T10-47-11_Tanh()_32_27,200,8,8,200,5,Tanh(),32,1,2.65e-05,0.0137311,4.63e-05,0.0178415,4.48e-05,0.0175844,"[ 1.52601005  0.4313447  -0.01478389 -0.43682388 -0.99338848 -1.58141938
 -2.56215655 -4.75226935]","[1.03481793 1.00669342 0.99274461 0.97986843 0.96685366 0.94516433
 0.92342844 0.88554227]","[-0.28597494 -0.36006305 -0.36133928 -0.37206198 -0.37611996 -0.35101181
 -0.33525725 -0.19772101]"
2026-08-22T10-47-11_Tanh()_32_28,200,8,8,200,5,Tanh(),32,1,3.42e-05,0.0156696,5.72e-05,0.0192677,6.09e-05,0.0202699,"[ 1.63869599e+00  4.55132207e-01 -3.15086721e-03 -4.74447150e-01
 -9.78052485e-01 -1.53269673e+00 -2.53683907e+00 -4.68270858e+00]","[1.03585394 1.00452603 0.9935002  0.97985588 0.96566292 0.94416259
 0.92349388 0.88950572]","[-0.31931788 -0.40378022 -0.41331295 -0.43018068 -0.44692793 -0.3380417
 -0.31319459 -0.19525064]"
2026-08-22T10-47-11_Tanh()_32_29,200,8,8,200,5,Tanh(),32,1,4.32e-05,0.0174828,7.87e-05,0.0237481,6.32e-05,0.0210592,"[ 1.58403233  0.4743471  -0.00627405 -0.40198078 -0.98615966 -1.58687301
 -2.49277219 -4.83500039]","[1.03236104 1.00568876 0.99207113 0.97741011 0.96780539 0.94339092
 0.92396636 0.88871772]","[-0.32043689 -0.43353345 -0.40027008 -0.42439207 -0.40624079 -0.33541771
 -0.32064236 -0.21175734]"
2026-08-22T10-47-11_Tanh()_32_30,200,8,8,200,5,Tanh(),32,1,2.52e-05,0.0134163,5.44e-05,0.0186268,5.21e-05,0.0189957,"[ 1.52984725e+00  4.38198441e-01 -8.81600890e-04 -4.19820230e-01
 -9.32638722e-01 -1.52255313e+00 -2.51504667e+00 -4.84406464e+00]","[1.03298594 1.00408096 0.9924244  0.9804878  0.96786652 0.94246286
 0.92275956 0.8868324 ]","[-0.30660206 -0.41544787 -0.3867237  -0.39075865 -0.38627419 -0.3438421
 -0.3269248  -0.23401375]"
2026-08-22T10-47-11_Tanh()_32_31,200,8,8,200,5,Tanh(),32,1,2.76e-05,0.0140605,5.92e-05,0.0201217,7.29e-05,0.0216868,"[ 1.50142131  0.41517751 -0.00761337 -0.45481626 -0.97265535 -1.52308994
 -2.48471916 -4.78314377]","[1.03507755 1.00439964 0.99307946 0.98031038 0.96801311 0.94515488
 0.92444123 0.88852828]","[-0.28490729 -0.39317771 -0.36530183 -0.38671847 -0.38053205 -0.33310473
 -0.30844339 -0.17940998]"
2026-08-22T10-47-11_Tanh()_32_32,200,8,8,200,5,Tanh(),32,1,2.49e-05,0.0133537,6.35e-05,0.0200094,5.33e-05,0.0192225,"[ 1.58465854e+00  3.76178933e-01 -2.58008306e-04 -4.29566877e-01
 -9.75760492e-01 -1.51584855e+00 -2.57688245e+00 -4.78308772e+00]","[1.03425344 1.00517387 0.99237072 0.97920889 0.96738154 0.943094
 0.92474727 0.88849003]","[-0.28266142 -0.39100135 -0.39481068 -0.35335099 -0.34809957 -0.35526713
 -0.32374323 -0.19723855]"
2026-08-22T10-47-11_Tanh()_32_33,200,8,8,200,5,Tanh(),32,1,3.28e-05,0.015459,5.98e-05,0.020229,0.0001047,0.0268892,"[ 1.55902776  0.43351695  0.01093232 -0.39527397 -0.96317541 -1.49223949
 -2.60009523 -4.73924633]","[1.03553648 1.00426888 0.99236703 0.98085738 0.96673743 0.94426568
 0.92190105 0.88685633]","[-0.29343467 -0.37696461 -0.39716254 -0.38784669 -0.38589464 -0.3401673
 -0.30752178 -0.20451782]"
2026-08-22T10-47-11_Tanh()_32_34,200,8,8,200,5,Tanh(),32,1,4.04e-05,0.0171193,7.57e-05,0.0229587,0.0001008,0.0261786,"[ 1.58233227  0.49953389  0.00691936 -0.45850917 -0.99062388 -1.60829374
 -2.6160788  -4.71058842]","[1.03473166 1.00370631 0.99181993 0.97928849 0.96759257 0.94383067
 0.92291293 0.88386709]","[-0.30534017 -0.38483737 -0.40350634 -0.41842028 -0.38042475 -0.35831273
 -0.31866259 -0.19999926]"
2026-08-22T10-47-11_Tanh()_32_35,200,8,8,200,5,Tanh(),32,1,3.59e-05,0.0161446,7.1e-05,0.0221508,6.54e-05,0.021605,"[ 1.67630152e+00  4.03148373e-01  2.07863202e-03 -4.20582429e-01
 -9.91017558e-01 -1.59306379e+00 -2.61017042e+00 -4.56695811e+00]","[1.03233593 1.00445045 0.99248472 0.97709058 0.9670072  0.94580234
 0.92365213 0.88962918]","[-0.33881005 -0.41844304 -0.41948022 -0.4272001  -0.42355973 -0.34048956
 -0.33102661 -0.22745126]"
2026-08-22T10-47-11_Tanh()_32_36,200,8,8,200,5,Tanh(),32,1,2.92e-05,0.014324,5.85e-05,0.0197172,4.94e-05,0.0185161,"[ 1.53583419  0.48041682  0.01170072 -0.53786409 -0.99539939 -1.56950695
 -2.47613275 -4.76849205]","[1.03497335 1.00513559 0.99259171 0.97963694 0.96740218 0.94347382
 0.92384102 0.88872379]","[-0.31642721 -0.40351744 -0.36517688 -0.37520296 -0.37424046 -0.35158448
 -0.32791067 -0.20937238]"
2026-08-22T10-47-11_Tanh()_32_37,200,8,8,200,5,Tanh(),32,1,3.55e-05,0.0157964,7.42e-05,0.0218342,7.79e-05,0.0227816,"[ 1.57398741  0.41054241 -0.01159333 -0.45176816 -1.02540155 -1.55205709
 -2.63229997 -4.7561189 ]","[1.03415294 1.00306679 0.99243509 0.97757223 0.9644972  0.94401887
 0.9227341  0.88898287]","[-0.33506218 -0.44064053 -0.39640691 -0.41544325 -0.43477654 -0.3656835
 -0.31306241 -0.25920859]"
2026-08-22T10-47-11_Tanh()_32_38,200,8,8,200,5,Tanh(),32,1,3.2e-05,0.0152092,4.52e-05,0.0179197,5.74e-05,0.0191639,"[ 1.61108161e+00  4.38862415e-01 -8.71514176e-04 -4.77035623e-01
 -1.06986749e+00 -1.57835704e+00 -2.60960922e+00 -4.71788254e+00]","[1.03518958 1.00522904 0.99283128 0.97882871 0.96598893 0.94448967
 0.92410956 0.89029522]","[-0.2862388  -0.39058888 -0.39409162 -0.40617235 -0.40203953 -0.38362268
 -0.33533878 -0.2008893 ]"
2026-08-22T10-47-11_Tanh()_32_39,200,8,8,200,5,Tanh(),32,1,2.92e-05,0.0144173,9.5e-05,0.023151,7.36e-05,0.021696,"[ 1.54465226e+00  4.68147218e-01 -1.93229775e-03 -4.97698620e-01
 -1.01904468e+00 -1.58456866e+00 -2.47028046e+00 -4.87798600e+00]","[1.03495841 1.00379212 0.99227658 0.9758987  0.96429692 0.94434557
 0.92372577 0.8850433 ]","[-0.33143438 -0.42463106 -0.41298548 -0.38416087 -0.40139865 -0.34611331
 -0.31736639 -0.19549195]"
2026-08-22T10-47-11_Tanh()_32_40,200,8,8,200,5,Tanh(),32,1,3.29e-05,0.0152449,8.13e-05,0.0236869,0.0001684,0.02675,"[ 1.54289883  0.42678582 -0.00880135 -0.4347213  -0.99772192 -1.55402958
 -2.41709782 -4.75353639]","[1.03203516 1.00536696 0.99307347 0.97892038 0.96729801 0.94501486
 0.92541138 0.89360733]","[-0.29430347 -0.41714122 -0.36361437 -0.3668343  -0.34579817 -0.34441438
 -0.31243242 -0.17841595]"
2026-08-22T10-47-11_Tanh()_32_41,200,8,8,200,5,Tanh(),32,1,3.99e-05,0.0170833,8.2e-05,0.0241533,5.87e-05,0.020157,"[ 1.65765025e+00  5.17583716e-01  4.40398478e-03 -3.57448585e-01
 -8.90457698e-01 -1.53849932e+00 -2.61077111e+00 -4.76476165e+00]","[1.03309862 1.00677634 0.99245562 0.9801727  0.96670126 0.94479752
 0.92206333 0.88759716]","[-0.3203746  -0.43363298 -0.40886869 -0.37290607 -0.4105539  -0.37860215
 -0.30856565 -0.22087153]"
2026-08-22T10-47-11_Tanh()_32_42,200,8,8,200,5,Tanh(),32,1,2.68e-05,0.0139065,7.76e-05,0.0228912,5.73e-05,0.0192899,"[ 1.62525224e+00  4.17771698e-01 -2.33426384e-03 -4.91663914e-01
 -9.68191470e-01 -1.60059673e+00 -2.57390359e+00 -4.65633445e+00]","[1.03559651 1.0041758  0.99235069 0.97892384 0.96629257 0.94514423
 0.92515084 0.88970559]","[-0.30815035 -0.39354514 -0.37455885 -0.38058193 -0.36958583 -0.34277672
 -0.29306479 -0.1974332 ]"
2026-08-22T10-47-11_Tanh()_32_43,200,8,8,200,5,Tanh(),32,1,3.05e-05,0.0148376,6.04e-05,0.0206723,0.0001211,0.0237462,"[ 1.5319549   0.46224214 -0.00531444 -0.46356194 -1.02813689 -1.58641598
 -2.5269356  -4.67582955]","[1.03422297 1.00446683 0.99304465 0.97751506 0.9652232  0.94407673
 0.92404237 0.88983507]","[-0.29074512 -0.41271382 -0.41993597 -0.38882614 -0.4024299  -0.3339888
 -0.29991063 -0.19280136]"
2026-08-22T10-47-11_Tanh()_32_44,200,8,8,200,5,Tanh(),32,1,2.87e-05,0.0142792,5.98e-05,0.0198514,7.85e-05,0.0220376,"[ 1.50900221e+00  4.10777363e-01 -1.55199363e-03 -4.08699971e-01
 -9.78679497e-01 -1.53059074e+00 -2.54962851e+00 -4.73019718e+00]","[1.03434893 1.00416349 0.99290411 0.97904982 0.96661167 0.94371717
 0.92346203 0.88757583]","[-0.30245309 -0.36431083 -0.38162176 -0.3957124  -0.3755265  -0.35095268
 -0.3109594  -0.19170289]"
2026-08-22T10-47-11_Tanh()_32_45,200,8,8,200,5,Tanh(),32,1,3.53e-05,0.0161213,5.69e-05,0.0200587,6.1e-05,0.0207825,"[ 1.58268493  0.4281856  -0.00561996 -0.39639593 -0.97243083 -1.53525219
 -2.55592212 -4.84185381]","[1.03407637 1.00541352 0.9921677  0.97913756 0.96409445 0.94485054
 0.92256339 0.88632375]","[-0.30157404 -0.40016704 -0.37942255 -0.39166551 -0.40006641 -0.37208524
 -0.32292494 -0.19050916]"
2026-08-22T10-47-11_Tanh()_32_46,200,8,8,200,5,Tanh(),32,1,3.5e-05,0.0159044,8.75e-05,0.0252026,7.08e-05,0.0209992,"[ 1.5983463   0.38838365 -0.00864575 -0.44895573 -0.96900565 -1.61722422
 -2.55811768 -4.59504254]","[1.03457094 1.00598035 0.99294674 0.97821555 0.96854696 0.94496634
 0.92331077 0.89066336]","[-0.29656198 -0.3988873  -0.39102632 -0.38528145 -0.38301938 -0.33308404
 -0.31883903 -0.22486985]"
2026-08-22T10-47-11_Tanh()_32_47,200,8,8,200,5,Tanh(),32,1,3.43e-05,0.0156765,6.42e-05,0.0209259,6.87e-05,0.0217192,"[ 1.5335448   0.41316618  0.00679821 -0.44154074 -0.95638535 -1.49730541
 -2.45762962 -4.78324289]","[1.033958   1.00321736 0.99262774 0.97805268 0.96600186 0.94449634
 0.92438522 0.88905361]","[-0.30422412 -0.38438372 -0.39603025 -0.40383457 -0.40030159 -0.33639223
 -0.29758318 -0.20492619]"
2026-08-22T10-47-11_Tanh()_32_48,200,8,8,200,5,Tanh(),32,1,2.53e-05,0.0134845,6.92e-05,0.0205463,8.96e-05,0.0221479,"[ 1.56342744  0.39128242  0.00899967 -0.49929647 -1.03083882 -1.56770986
 -2.51546528 -4.70985432]","[1.03652217 1.00162865 0.99210576 0.9790658  0.96738961 0.94588714
 0.92439234 0.89080551]","[-0.27999827 -0.38138594 -0.38853658 -0.35931937 -0.35931966 -0.30918158
 -0.29408443 -0.19793926]"
2026-08-22T10-47-11_Tanh()_32_49,200,8,8,200,5,Tanh(),32,1,3.05e-05,0.0147821,5.41e-05,0.0187021,4.74e-05,0.0183557,"[ 1.55838711  0.40683962 -0.00833735 -0.46796407 -0.97724796 -1.5782518
 -2.49581802 -4.74342657]","[1.03545207 1.00342096 0.99275617 0.9770289  0.96677384 0.94534326
 0.92368772 0.88467094]","[-0.33257193 -0.40677712 -0.36562611 -0.37591109 -0.36541269 -0.31783511
 -0.29986269 -0.19343688]"
2026-08-22T10-47-11_Tanh()_32_50,200,8,8,200,5,Tanh(),32,1,3.68e-05,0.0161633,9.84e-05,0.0258262,8.04e-05,0.0217825,"[ 1.5443278   0.41966633 -0.00795918 -0.40639455 -1.00961275 -1.57153744
 -2.51292194 -4.66365733]","[1.03321906 1.0044652  0.99275104 0.97756353 0.96600105 0.94467635
 0.92539972 0.89403576]","[-0.29525919 -0.39937454 -0.37104831 -0.39360718 -0.37333033 -0.36341242
 -0.31485455 -0.16601377]"
2026-08-22T15-33-05_Tanh()_64_1,200,8,8,200,5,Tanh(),64,1,6.5e-06,0.0069234,3.06e-05,0.0136315,2.62e-05,0.013276,"[ 1.58576007  0.397158   -0.01566312 -0.56151221 -1.14713497 -1.6588973
 -2.618706   -4.6555433 ]","[1.0347428  1.00362829 0.99202364 0.97792201 0.96703273 0.94511956
 0.92605961 0.88807169]","[-0.29415535 -0.41991657 -0.39436962 -0.31128862 -0.29942815 -0.28912457
 -0.26913161 -0.17720084]"
2026-08-22T15-33-05_Tanh()_64_2,200,8,8,200,5,Tanh(),64,1,7.7e-06,0.0075241,3.13e-05,0.0144291,3.6e-05,0.01497,"[ 1.51579695  0.37330166  0.00865316 -0.51840544 -1.12103946 -1.59312543
 -2.49430554 -4.73687646]","[1.03495403 1.00513838 0.99315886 0.97996733 0.96747642 0.94472955
 0.92717086 0.88570973]","[-0.28309803 -0.37172107 -0.38209237 -0.35835868 -0.32893793 -0.3591614
 -0.29236271 -0.17954038]"
2026-08-22T15-33-05_Tanh()_64_3,200,8,8,200,5,Tanh(),64,1,7.6e-06,0.0074547,4.67e-05,0.0171334,3.33e-05,0.0150593,"[ 1.54303348  0.32831076 -0.01123137 -0.57100006 -1.10732431 -1.66919269
 -2.55564397 -4.77903849]","[1.03485949 1.00309004 0.99208869 0.97896431 0.96681512 0.94525333
 0.92583752 0.88568654]","[-0.28788988 -0.35286141 -0.39832614 -0.33771738 -0.36574926 -0.3310866
 -0.31048115 -0.17775983]"
2026-08-22T15-33-05_Tanh()_64_4,200,8,8,200,5,Tanh(),64,1,5.6e-06,0.0064026,7.53e-05,0.0181171,3.46e-05,0.0144428,"[ 1.50715307  0.41034971 -0.00624492 -0.55013644 -1.09155577 -1.61770147
 -2.44945457 -4.78396318]","[1.03397162 1.00351107 0.99242192 0.97875766 0.96882299 0.94522686
 0.9265858  0.88744566]","[-0.30522674 -0.38656359 -0.38634871 -0.35592733 -0.33099807 -0.31698673
 -0.29773549 -0.18118429]"
2026-08-22T15-33-05_Tanh()_64_5,200,8,8,200,5,Tanh(),64,1,6e-06,0.0066041,3.39e-05,0.0150732,3.79e-05,0.0160964,"[ 1.52187494e+00  3.69878232e-01 -1.33850610e-03 -5.47507368e-01
 -1.09112262e+00 -1.62329727e+00 -2.49472240e+00 -4.78976568e+00]","[1.03416844 1.00364976 0.99161495 0.97889315 0.96680915 0.94444162
 0.92581015 0.8867339 ]","[-0.31942481 -0.37515831 -0.35064259 -0.34406081 -0.33870719 -0.30708209
 -0.29269387 -0.1858378 ]"
2026-08-22T15-33-05_Tanh()_64_6,200,8,8,200,5,Tanh(),64,1,6.7e-06,0.0070504,3.68e-05,0.0155845,2.17e-05,0.01257,"[ 1.52723873  0.32079873 -0.0069866  -0.56567599 -1.13232643 -1.6157633
 -2.51403085 -4.85835451]","[1.0348891  1.00170923 0.99308717 0.97908258 0.96700568 0.9444825
 0.92592425 0.88746386]","[-0.28047541 -0.36760101 -0.38009879 -0.35773165 -0.3295931  -0.31095038
 -0.28209803 -0.17989221]"
