MODEL_NAME,NUM_EPOCHS,N,F,NUM_TRAJ,TRAJ_LENGTH,ACTIVATION,HIDDEN_SIZE,BETA,TRAIN_LOSS,TRAIN_AVERAGE_EUCLIDEAN_DISTANCE,VAL_LOSS,VAL_AVERAGE_EUCLIDEAN_DISTANCE,TEST_LOSS,TEST_AVERAGE_EUCLIDEAN_DISTANCE,Lyapunov,MINS_SV,MIN_GRADS_SV
2026-08-22T05-43-37_Tanh()_24_19,200,8,8,200,5,Tanh(),24,1,0.0007763,0.0736968,0.0011987,0.0909159,0.0009986,0.0825417,"[ 1.51646345e+00  5.26326697e-01  7.72700113e-05 -3.44737478e-01
 -1.17063924e+00 -1.99064196e+00 -2.90297061e+00 -4.49812779e+00]","[1.02268837 0.98922302 0.93640205 0.90603623 0.85564927 0.81706831
 0.73796169 0.64574783]","[-21.89875079  -7.2268462   -7.66955276  -5.36346715  -4.94816375
  -5.38868014  -6.889143    -5.81851306]"
2026-08-22T05-43-37_Tanh()_24_20,200,8,8,200,5,Tanh(),24,1,0.0007954,0.0738077,0.0015727,0.0998863,0.00134,0.0957038,"[   4.85888705   -2.90146633  -10.1552953   -19.83507336  -42.68927929
  -69.52833097 -113.54071388 -172.38700606]","[1.25490915e+00 9.83872037e-01 7.27078584e-01 5.40680649e-01
 3.63620393e-01 1.70364016e-01 6.40825321e-02 2.61520898e-05]","[-147.8224787  -119.91092674  -61.7606594   -55.49070407  -37.67139587
  -42.76265964  -36.41934605  -28.86779944]"
2026-08-22T05-43-37_Tanh()_24_21,200,8,8,200,5,Tanh(),24,1,0.0005653,0.0637877,0.0008015,0.0724325,0.000748,0.0721977,"[  0.38317938  -0.18857795  -1.87354865  -3.18458358  -7.63687046
  -9.70854291 -15.7241363  -23.08340613]","[1.1544901  1.04664553 1.00357529 0.88559897 0.85325363 0.79763423
 0.75865891 0.67256122]","[-5.30113941 -7.68364187 -7.46617723 -6.32674018 -5.44807998 -5.64452029
 -5.57457815 -4.55390592]"
2026-08-22T05-43-37_Tanh()_24_22,200,8,8,200,5,Tanh(),24,1,0.0007778,0.0743168,0.0008649,0.0790164,0.0015824,0.1011302,"[ 1.51374776  0.54206671  0.00858094 -0.27840566 -1.03324662 -1.8584664
 -2.79548705 -4.52188182]","[1.03017206 1.00451683 0.98580231 0.96960917 0.94467583 0.91330515
 0.87279915 0.82342475]","[-1.19253033 -1.27840925 -1.26566938 -1.20985384 -0.94596629 -0.99909143
 -1.18714142 -1.00321706]"
2026-08-22T05-43-37_Tanh()_24_23,200,8,8,200,5,Tanh(),24,1,0.0008837,0.0786462,0.001537,0.1002596,0.0018445,0.1119103,"[ -1.65485894  -3.75963146  -3.95993268  -8.64886499 -24.38457902
 -25.0354383  -53.51645616 -81.865955  ]","[1.16883632 1.04370601 0.934573   0.7833266  0.71625575 0.54276727
 0.47729995 0.37147099]","[-37.54063932 -27.89550531 -27.02916049 -14.76423179 -14.59089143
 -15.98869081 -19.09498865 -10.56020267]"
2026-08-22T05-43-37_Tanh()_24_24,200,8,8,200,5,Tanh(),24,1,0.0013263,0.0974582,0.0031799,0.1451373,0.0020312,0.1196209,"[   4.57492003  -14.29280412  -39.44120635  -63.72799649 -100.79734762
 -137.73541077 -175.41688384 -210.15209218]","[8.62990119e-01 4.20204449e-01 2.18000324e-01 1.33628133e-01
 7.68284041e-02 3.82292733e-02 1.24429689e-02 1.60041439e-06]","[-287.02473431 -150.21748659 -145.95025436 -111.13788424  -67.42732743
  -55.10448984  -60.03402887  -31.90304105]"
2026-08-22T05-43-37_Tanh()_24_25,200,8,8,200,5,Tanh(),24,1,0.0006997,0.0697301,0.0014712,0.0973338,0.0014717,0.0937337,"[ 1.38449939e+00  4.29237533e-01  3.89371366e-03 -3.61750565e-01
 -1.08850930e+00 -1.88607585e+00 -2.68125159e+00 -4.60533310e+00]","[1.03126922 1.00364836 0.98846426 0.97214156 0.95345665 0.9292943
 0.90033629 0.85251393]","[-0.74260407 -0.52081317 -0.52332216 -0.49024334 -0.6287383  -0.73379023
 -0.80543874 -0.7049649 ]"
2026-08-22T05-43-37_Tanh()_24_26,200,8,8,200,5,Tanh(),24,1,0.0006828,0.069739,0.0011153,0.0846954,0.001626,0.1066939,"[ 1.74052097e+00  6.43720762e-01  7.68632959e-04 -2.80825746e-01
 -1.09245042e+00 -1.92202343e+00 -2.96443401e+00 -4.76987330e+00]","[1.0283564  1.00653659 0.97212952 0.94507775 0.90262087 0.85487744
 0.8044506  0.74482104]","[-2.066373   -2.31969259 -2.41945926 -1.82476923 -1.75377279 -2.03570777
 -1.66493094 -1.76764842]"
2026-08-22T05-43-37_Tanh()_24_27,200,8,8,200,5,Tanh(),24,1,0.001762,0.1105627,0.0025994,0.1322567,0.0025525,0.1365603,"[  -2.7185031    -2.73106333  -28.7639093  -114.48579667 -114.49204149
 -124.04103686 -228.75915238 -228.75866899]","[1.92683557 1.21382714 0.83830424 0.68175599 0.25934749 0.20144456
 0.08314851 0.0248131 ]","[-1.52195338e-05 -4.32782366e-05 -1.67140182e-05 -1.63067064e-05
 -2.91815924e-05 -7.37151062e-06 -1.91000795e-05 -3.45093896e-06]"
2026-08-22T05-43-37_Tanh()_24_28,200,8,8,200,5,Tanh(),24,1,0.0004747,0.0579168,0.0009131,0.0749005,0.0009038,0.0775417,"[ 1.54870704  0.60070152 -0.00612965 -0.23575841 -0.87204864 -1.68252474
 -2.58539091 -4.45440455]","[1.03103863 1.00479589 0.98966683 0.97208912 0.95500881 0.93306753
 0.90450079 0.8617083 ]","[-0.51412804 -0.78620045 -0.9136277  -0.80716376 -0.72032698 -0.6569604
 -0.60388762 -0.4759272 ]"
